,Neighborhood,Top10,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
10,Commerce Court,"['Coffee Shop', 'Café', 'Restaurant', 'Hotel', 'Japanese Restaurant', 'Gym', 'American Restaurant', 'Beer Bar', 'Deli / Bodega', 'Gastropub']",Coffee Shop,Café,Restaurant,Hotel,Japanese Restaurant,Gym,American Restaurant,Beer Bar,Deli / Bodega,Gastropub
11,Davisville,"['Sushi Restaurant', 'Italian Restaurant', 'Coffee Shop', 'Sporting Goods Shop', 'Convenience Store', 'Pub', 'Park', 'Café', 'Trail', 'Spa']",Sushi Restaurant,Italian Restaurant,Coffee Shop,Sporting Goods Shop,Convenience Store,Pub,Park,Café,Trail,Spa
12,Davisville North,"['Sushi Restaurant', 'Italian Restaurant', 'Coffee Shop', 'Sporting Goods Shop', 'Convenience Store', 'Pub', 'Park', 'Café', 'Trail', 'Spa']",Sushi Restaurant,Italian Restaurant,Coffee Shop,Sporting Goods Shop,Convenience Store,Pub,Park,Café,Trail,Spa
13,Deer Park,"['Coffee Shop', 'Italian Restaurant', 'Sushi Restaurant', 'Restaurant', 'Thai Restaurant', 'Grocery Store', 'Café', 'Bank', 'Pizza Place', 'Burger Joint']",Coffee Shop,Italian Restaurant,Sushi Restaurant,Restaurant,Thai Restaurant,Grocery Store,Café,Bank,Pizza Place,Burger Joint
14,Design Exchange,"['Coffee Shop', 'Café', 'Restaurant', 'American Restaurant', 'Hotel', 'Gym', 'Deli / Bodega', 'Gastropub', 'Seafood Restaurant', 'Bakery']",Coffee Shop,Café,Restaurant,American Restaurant,Hotel,Gym,Deli / Bodega,Gastropub,Seafood Restaurant,Bakery
15,Dovercourt Village,"['Café', 'Brazilian Restaurant', 'Bar', 'Pizza Place', 'Restaurant', 'Park', 'Coffee Shop', 'Noodle House', 'Optical Shop', 'Opera House']",Café,Brazilian Restaurant,Bar,Pizza Place,Restaurant,Park,Coffee Shop,Noodle House,Optical Shop,Opera House
16,Dufferin,"['Bar', 'Bakery', 'Coffee Shop', 'Café', 'Mexican Restaurant', 'Cocktail Bar', 'Sandwich Place', 'Beer Store', 'Japanese Restaurant', 'Vegetarian / Vegan Restaurant']",Bar,Bakery,Coffee Shop,Café,Mexican Restaurant,Cocktail Bar,Sandwich Place,Beer Store,Japanese Restaurant,Vegetarian / Vegan Restaurant
17,Exhibition Place,"['Theme Park', 'Soccer Stadium', 'Arts & Crafts Store', 'Athletics & Sports', 'Music Venue', 'Poutine Place', 'Coffee Shop', 'Farm', 'Festival', 'Nightclub']",Theme Park,Soccer Stadium,Arts & Crafts Store,Athletics & Sports,Music Venue,Poutine Place,Coffee Shop,Farm,Festival,Nightclub
18,First Canadian Place,"['Coffee Shop', 'Café', 'Restaurant', 'Hotel', 'Gym', 'American Restaurant', 'Gastropub', 'Deli / Bodega', 'Seafood Restaurant', 'Japanese Restaurant']",Coffee Shop,Café,Restaurant,Hotel,Gym,American Restaurant,Gastropub,Deli / Bodega,Seafood Restaurant,Japanese Restaurant
19,Forest Hill North & West,"['Accessories Store', 'Home Service', 'Bank', 'Mediterranean Restaurant', 'Night Market', 'Optical Shop', 'Opera House', 'Office', 'North Indian Restaurant', 'Noodle House']",Accessories Store,Home Service,Bank,Mediterranean Restaurant,Night Market,Optical Shop,Opera House,Office,North Indian Restaurant,Noodle House
20,Forest Hill SE,"['Accessories Store', 'Home Service', 'Bank', 'Mediterranean Restaurant', 'Night Market', 'Optical Shop', 'Opera House', 'Office', 'North Indian Restaurant', 'Noodle House']",Accessories Store,Home Service,Bank,Mediterranean Restaurant,Night Market,Optical Shop,Opera House,Office,North Indian Restaurant,Noodle House
21,Garden District,"['Coffee Shop', 'Clothing Store', 'Restaurant', 'Hotel', 'Cosmetics Shop', 'Thai Restaurant', 'Ramen Restaurant', 'Bookstore', 'Pizza Place', 'Electronics Store']",Coffee Shop,Clothing Store,Restaurant,Hotel,Cosmetics Shop,Thai Restaurant,Ramen Restaurant,Bookstore,Pizza Place,Electronics Store
22,Grange Park,"['Coffee Shop', 'Café', 'Sandwich Place', 'Chinese Restaurant', 'Arts & Crafts Store', 'Japanese Restaurant', 'Art Gallery', 'Music Venue', 'Movie Theater', 'Sushi Restaurant']",Coffee Shop,Café,Sandwich Place,Chinese Restaurant,Arts & Crafts Store,Japanese Restaurant,Art Gallery,Music Venue,Movie Theater,Sushi Restaurant
23,Harbord,"['Korean Restaurant', 'Coffee Shop', 'Grocery Store', 'Café', 'Park', 'Dessert Shop', 'Mexican Restaurant', 'Sandwich Place', 'Karaoke Bar', 'Pizza Place']",Korean Restaurant,Coffee Shop,Grocery Store,Café,Park,Dessert Shop,Mexican Restaurant,Sandwich Place,Karaoke Bar,Pizza Place
24,Harbourfront,"['Coffee Shop', 'Hotel', 'Café', 'Pizza Place', 'Italian Restaurant', 'Restaurant', 'Sandwich Place', 'Sushi Restaurant', 'Steakhouse', 'Brewery']",Coffee Shop,Hotel,Café,Pizza Place,Italian Restaurant,Restaurant,Sandwich Place,Sushi Restaurant,Steakhouse,Brewery
25,Harbourfront East,"['Boat or Ferry', 'Sculpture Garden', 'Historic Site', 'Music Venue', 'Night Market', 'Optical Shop', 'Opera House', 'Office', 'North Indian Restaurant', 'Noodle House']",Boat or Ferry,Sculpture Garden,Historic Site,Music Venue,Night Market,Optical Shop,Opera House,Office,North Indian Restaurant,Noodle House
26,Harbourfront West,"['Coffee Shop', 'Hotel', 'Café', 'Pizza Place', 'Italian Restaurant', 'Restaurant', 'Sandwich Place', 'Sushi Restaurant', 'Steakhouse', 'Brewery']",Coffee Shop,Hotel,Café,Pizza Place,Italian Restaurant,Restaurant,Sandwich Place,Sushi Restaurant,Steakhouse,Brewery
27,High Park,"['Pizza Place', 'Pet Store', 'Shipping Store', 'Theme Park Ride / Attraction', 'Gym', 'Mexican Restaurant', 'Pub', 'Restaurant', 'Pool', 'Convenience Store']",Pizza Place,Pet Store,Shipping Store,Theme Park Ride / Attraction,Gym,Mexican Restaurant,Pub,Restaurant,Pool,Convenience Store
28,India Bazaar,"['Indian Restaurant', 'Café', 'Grocery Store', 'Discount Store', 'Gym', 'Theater', 'Bistro', 'Brewery', 'Burger Joint', 'Bus Line']",Indian Restaurant,Café,Grocery Store,Discount Store,Gym,Theater,Bistro,Brewery,Burger Joint,Bus Line
29,Island airport,"['Airport Lounge', 'Airport Service', 'Airport', 'Airport Food Court', 'Airport Gate', 'Airport Terminal', 'Bar', 'Boutique', 'Coffee Shop', 'Accessories Store']",Airport Lounge,Airport Service,Airport,Airport Food Court,Airport Gate,Airport Terminal,Bar,Boutique,Coffee Shop,Accessories Store
30,Kensington Market,"['Café', 'Bar', 'Vegetarian / Vegan Restaurant', 'Coffee Shop', 'Mexican Restaurant', 'Vietnamese Restaurant', 'Bakery', 'Dumpling Restaurant', 'Ramen Restaurant', 'Noodle House']",Café,Bar,Vegetarian / Vegan Restaurant,Coffee Shop,Mexican Restaurant,Vietnamese Restaurant,Bakery,Dumpling Restaurant,Ramen Restaurant,Noodle House
31,King,"['Coffee Shop', 'Restaurant', 'Hotel', 'Italian Restaurant', 'Gastropub', 'Café', 'Japanese Restaurant', 'American Restaurant', 'Seafood Restaurant', 'Gym']",Coffee Shop,Restaurant,Hotel,Italian Restaurant,Gastropub,Café,Japanese Restaurant,American Restaurant,Seafood Restaurant,Gym
32,King and Spadina,"['Italian Restaurant', 'Coffee Shop', 'Restaurant', 'Bar', 'Hotel', 'Beer Bar', 'Yoga Studio', 'Arts & Crafts Store', 'Café', 'Taco Place']",Italian Restaurant,Coffee Shop,Restaurant,Bar,Hotel,Beer Bar,Yoga Studio,Arts & Crafts Store,Café,Taco Place
